old_ticker,new_ticker,effective_date,company_name,source_url
FBHS,FBIN,2022-12-15,Fortune Brands Innovations,https://ir.fbin.com/news-releases/news-release-details/fortune-brands-home-security-becomes-fortune-brands-innovations
BLL,BALL,2022-06-01,Ball Corporation,https://www.ball.com/newswire/article/ball-corporation-changes-ticker-symbol-to-ball
RE,EG,2023-05-08,Everest Group,https://www.everestglobal.com/press-releases/everest-re-group-ltd-changes-name-to-everest-group-ltd
BHGE,BKR,2019-10-18,Baker Hughes,https://investors.bakerhughes.com/news-releases/news-release-details/baker-hughes-completes-separation-ge-and-begins-trading-bkr
WYN,WYND,2018-06-01,Wyndham Destinations,https://www.sec.gov/Archives/edgar/data/1361658/000136165818000032/0001361658-18-000032-index.htm
WYND,TNL,2021-02-17,Travel + Leisure Co.,https://investor.travelandleisureco.com/news-releases/news-release-details/wyndham-destinations-becomes-travel-leisure-co
AA,ARNC,2016-11-01,Arconic,https://www.sec.gov/Archives/edgar/data/4281/000000428116000254/0000004281-16-000254-index.htm
ACE,CB,2016-01-19,Chubb Limited,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20160113-1029000/1029000_sp500chubbace.pdf
SBC,T,2005-11-21,AT&T Inc.,https://www.sec.gov/Archives/edgar/data/732717/000073271705000062/0000732717-05-000062-index.htm
BBT,TFC,2019-12-09,Truist Financial,https://ir.truist.com/news-releases/news-release-details/bbt-and-suntrust-complete-merger-equals-form-truist
TMK,GL,2019-08-08,Globe Life,https://investors.globelifeinsurance.com/news/press-releases/2019/Torchmark-Corporation-Becomes-Globe-Life-Inc/default.aspx
UTX,RTX,2020-04-03,Raytheon Technologies,https://www.rtx.com/news/news-center/2020/04/03/raytheon-technologies-completes-merger
MYL,VTRS,2020-11-16,Viatris,https://investor.viatris.com/news-releases/news-release-details/mylan-and-upjohn-complete-combination-launch-viatris
PX,LIN,2018-10-31,Linde plc,https://www.linde.com/news-media/press-releases/2018/linde-plc-completes-merger
EQR,VMRK,2026-07-01,Vivmark Residential,https://en.wikipedia.org/wiki/Historical_components_of_the_S%26P_500
ACT,AGN,2015-03-17,Allergan plc,https://www.sec.gov/Archives/edgar/data/1578845/000119312515096560/0001193125-15-096560-index.htm
PARA,PSKY,2025-08-07,Paramount Skydance Corporation,https://en.wikipedia.org/wiki/Paramount_Skydance
